fp,dist_km,t_true,t_da,err_lag_h,err_nolag_h,amp_true_cms,amp_da_cms,route_h_from_t0
1285633719741712,0.0,2019-05-30 19:00:00,2019-05-30 19:00:00,0.0,0.0,50.34523010253906,50.34523010253906,19.0
1285634954939964,2.5892790593765302,2019-05-30 18:00:00,2019-05-30 19:00:00,1.0,1.0,49.20234680175781,25.5284423828125,18.0
1285634977350554,3.2417303541767732,2019-05-30 18:00:00,2019-05-30 20:00:00,2.0,1.0,50.52894592285156,13.138351440429688,18.0
1285636224997971,6.680902909218813,2019-05-30 17:00:00,2019-05-30 19:00:00,2.0,2.0,50.99267578125,13.495941162109375,17.0
1285636244157092,9.287170151870457,2019-05-30 16:00:00,2019-05-30 17:00:00,1.0,3.0,50.196441650390625,16.435928344726562,16.0
1285636253074809,11.038375467257634,2019-05-30 16:00:00,2019-05-30 18:00:00,2.0,3.0,52.095855712890625,12.606689453125,16.0
1285636194205226,11.70737106736728,2019-05-30 16:00:00,2019-05-30 16:00:00,0.0,3.0,51.56146240234375,23.923919677734375,16.0
1285637442453462,14.664009685235088,2019-05-30 15:00:00,2019-05-30 17:00:00,2.0,4.0,52.56109619140625,12.5970458984375,15.0
1285637460545685,17.704309047551956,2019-05-30 14:00:00,2019-05-30 16:00:00,2.0,5.0,53.14317321777344,12.743621826171875,14.0
1285637452973621,19.845092321127844,2019-05-30 13:00:00,2019-05-30 14:00:00,1.0,6.0,52.20581817626953,15.182327270507812,13.0
1285637416678298,28.375155515036475,2019-05-30 11:00:00,2019-05-30 13:00:00,2.0,8.0,53.20527648925781,11.2138671875,11.0
1285637425170258,30.173355996318683,2019-05-30 10:00:00,2019-05-30 13:00:00,3.0,9.0,53.81001281738281,8.478958129882812,10.0
1285638665711850,33.44545652916201,2019-05-30 09:00:00,2019-05-30 12:00:00,3.0,10.0,53.456764221191406,8.086883544921875,9.0
1285638626207305,36.25895423203022,2019-05-30 08:00:00,2019-05-30 11:00:00,3.0,11.0,53.93525695800781,8.752700805664062,8.0
1285638605837581,40.49352810919531,2019-05-30 07:00:00,2019-05-30 10:00:00,3.0,12.0,54.08479309082031,6.840728759765625,7.0
1285638624390470,40.95633679277281,2019-05-30 07:00:00,2019-05-30 10:00:00,3.0,12.0,53.27906799316406,6.3831787109375,7.0
1285638640040916,45.09276944666885,2019-05-30 05:00:00,2019-05-31 08:00:00,27.0,14.0,53.00835418701172,10.364959716796875,5.0
1285639830185355,49.97367580599154,2019-05-30 04:00:00,2019-05-30 06:00:00,2.0,15.0,51.96282958984375,5.81939697265625,4.0
1285639845895413,52.55957829399916,2019-05-30 01:00:00,2019-05-30 04:00:00,3.0,18.0,50.00349426269531,0.1487288475036621,1.0
